Total batches: 225
Batch info (theta, phi, gamma, psi_deg, E1, E2):
Batch 104: theta=150.00, phi=325.00, gamma=0.137, psi_deg=79.1, E1=[0.004095760221444958, 0.0020478801107224787, -0.001433941090877616], E2=[0.00044227432946313764, -0.0003982541673943978, 0.00027886057013298913]
Batch 105: theta=150.00, phi=350.00, gamma=0.354, psi_deg=60.3, E1=[0.00492403876506104, 0.00246201938253052, -0.0004341204441673259], E2=[0.0016317586895842767, -0.0010588668526473758, 0.00018670679509958683]
Batch 106: theta=175.00, phi=0.00, gamma=0.175, psi_deg=137.0, E1=[0.005, 0.00043577871373829096, 0.0], E2=[-0.0006921878635934905, 0.0005420832729526474, 0.0]
Batch 107: theta=175.00, phi=25.00, gamma=0.558, psi_deg=119.0, E1=[0.00453153893518325, 0.00039494964168582824, 0.0001841680425036744], E2=[-0.0014189364259905913, 0.002108132104146974, -5.7667549093071964e-05]
Batch 108: theta=175.00, phi=50.00, gamma=0.667, psi_deg=66.8, E1=[0.003213938048432697, 0.00028011315775611077, 0.0003338258620887537], E2=[0.0006751531204055858, 0.002055028906776476, 7.012691877219503e-05]
Batch 109: theta=175.00, phi=75.00, gamma=0.502, psi_deg=74.7, E1=[0.0012940952255126037, 0.00011278783056574921, 0.0004209299141468461], E2=[0.000382285767464804, -0.00014729155709702064, -0.0005496995746120134]
Batch 110: theta=175.00, phi=100.00, gamma=0.532, psi_deg=177.0, E1=[-0.0008682408883346515, -7.567217950669311e-05, 0.0004291582558871566], E2=[0.0004737219041840094, 3.6025764661600404e-05, -0.00020431226416316056]
Batch 111: theta=175.00, phi=125.00, gamma=0.436, psi_deg=2.2, E1=[-0.0028678821817552306, -0.0002499524016636516, 0.00035696902421634833], E2=[-0.0012422747524237733, -0.00013686964211181778, 0.00019547010656549907]
Batch 112: theta=175.00, phi=150.00, gamma=0.930, psi_deg=157.2, E1=[-0.004330127018922193, -0.0003773954365258668, 0.00021788935686914545], E2=[0.003575079607962706, 0.001886122124799427, -0.00017989583056824128]
Batch 113: theta=175.00, phi=175.00, gamma=0.417, psi_deg=113.4, E1=[-0.004980973490458728, -0.000434120444167326, 3.798061746947987e-05], E2=[0.0006589180909699939, 0.001975882179960236, -5.0243423308294845e-06]
Batch 114: theta=175.00, phi=200.00, gamma=0.422, psi_deg=38.3, E1=[-0.004698463103929542, -0.0004094980415954468, -0.00014904509813104582], E2=[-0.0016630951047342136, 0.0010942052658053987, -5.2756862744981976e-05]
Batch 115: theta=175.00, phi=225.00, gamma=0.301, psi_deg=75.5, E1=[-0.0035355339059327385, -0.0003081420835810969, -0.0003081420835810968], E2=[-0.0003555179885261001, 0.0010110725795715592, -3.098543435014567e-05]
Batch 116: theta=175.00, phi=250.00, gamma=0.166, psi_deg=117.2, E1=[-0.0017101007166283428, -0.00014904509813104576, -0.0004094980415954468], E2=[0.00019346676300260974, -7.49299631054251e-05, -0.00020586838167272357]
Batch 117: theta=175.00, phi=275.00, gamma=0.780, psi_deg=167.8, E1=[0.00043577871373828945, 3.798061746947974e-05, -0.000434120444167326], E2=[-0.0002602856351536137, -3.523023451648835e-05, 0.00040268342316201105]
Batch 118: theta=175.00, phi=300.00, gamma=0.439, psi_deg=53.4, E1=[0.0025000000000000005, 0.00021788935686914554, -0.0003773954365258667], E2=[0.000806878537555802, -0.0003836391856076654, 0.0006644825612468232]
Batch 119: theta=175.00, phi=325.00, gamma=0.435, psi_deg=149.0, E1=[0.004095760221444958, 0.00035696902421634833, -0.0002499524016636518], E2=[-0.0016058871120377116, 0.0007861697552177841, 9.800264633482918e-05]
Batch 120: theta=175.00, phi=350.00, gamma=0.911, psi_deg=76.9, E1=[0.00492403876506104, 0.0004291582558871566, -7.567217950669315e-05], E2=[0.0006348440943062619, 0.004458476962455557, -9.75622625150311e-06]
Batch 121: theta=200.00, phi=0.00, gamma=0.102, psi_deg=7.6, E1=[0.005, -0.0017101007166283432, -0.0], E2=[0.0005283512267711262, -0.00010584331117725194, 0.0]
Batch 122: theta=200.00, phi=25.00, gamma=0.228, psi_deg=107.7, E1=[0.00453153893518325, -0.001549877596097223, -0.0007227197922629949], E2=[5.7555502551389006e-05, 0.0009977671511225382, 0.0004652664636239354]
Batch 123: theta=200.00, phi=50.00, gamma=0.196, psi_deg=53.5, E1=[0.003213938048432697, -0.0010992315519647708, -0.0013100131511469247], E2=[0.0006435855497415838, 0.000197068425442248, 0.00023485700400768315]
