Total batches: 225
Batch info (theta, phi, strain):
Batch 176: theta=275.00, phi=250.00, strain=[-0.0034202014332566856, 0.003407186534216099, 0.009361168066628593]
Batch 177: theta=275.00, phi=275.00, strain=[0.0008715574274765789, -0.0008682408883346489, 0.00992403876506104]
Batch 178: theta=275.00, phi=300.00, strain=[0.005000000000000001, -0.004980973490458729, 0.008627299156628208]
Batch 179: theta=275.00, phi=325.00, strain=[0.008191520442889916, -0.008160349234517082, 0.0057139380484327006]
Batch 180: theta=275.00, phi=350.00, strain=[0.00984807753012208, -0.00981060262190407, 0.001729873939250895]
Batch 181: theta=300.00, phi=0.00, strain=[0.01, -0.008660254037844387, -0.0]
Batch 182: theta=300.00, phi=25.00, strain=[0.0090630778703665, -0.007848855672213958, -0.003659981507706668]
Batch 183: theta=300.00, phi=50.00, strain=[0.006427876096865394, -0.005566703992264194, -0.006634139481689384]
Batch 184: theta=300.00, phi=75.00, strain=[0.0025881904510252074, -0.0022414386804201335, -0.008365163037378078]
Batch 185: theta=300.00, phi=100.00, strain=[-0.001736481776669303, 0.0015038373318043525, -0.008528685319524432]
Batch 186: theta=300.00, phi=125.00, strain=[-0.005735764363510461, 0.004967317648921541, -0.007094064799162224]
Batch 187: theta=300.00, phi=150.00, strain=[-0.008660254037844387, 0.0075, -0.004330127018922192]
Batch 188: theta=300.00, phi=175.00, strain=[-0.009961946980917456, 0.008627299156628208, -0.0007547908730517334]
Batch 189: theta=300.00, phi=200.00, strain=[-0.009396926207859084, 0.008137976813493738, 0.0029619813272602374]
Batch 190: theta=300.00, phi=225.00, strain=[-0.007071067811865477, 0.006123724356957946, 0.006123724356957945]
Batch 191: theta=300.00, phi=250.00, strain=[-0.0034202014332566856, 0.002961981327260237, 0.008137976813493738]
Batch 192: theta=300.00, phi=275.00, strain=[0.0008715574274765789, -0.0007547908730517308, 0.008627299156628208]
Batch 193: theta=300.00, phi=300.00, strain=[0.005000000000000001, -0.004330127018922194, 0.007499999999999999]
Batch 194: theta=300.00, phi=325.00, strain=[0.008191520442889916, -0.007094064799162223, 0.004967317648921544]
Batch 195: theta=300.00, phi=350.00, strain=[0.00984807753012208, -0.008528685319524432, 0.0015038373318043534]
Batch 196: theta=325.00, phi=0.00, strain=[0.01, -0.005735764363510465, -0.0]
Batch 197: theta=325.00, phi=25.00, strain=[0.0090630778703665, -0.005198367907256849, -0.002424038765061042]
Batch 198: theta=325.00, phi=50.00, strain=[0.006427876096865394, -0.003686878264946127, -0.004393850417707053]
Batch 199: theta=325.00, phi=75.00, strain=[0.0025881904510252074, -0.0014845250554968463, -0.005540322932223238]
Batch 200: theta=325.00, phi=100.00, strain=[-0.001736481776669303, 0.0009960050292505127, -0.0056486252146362385]
Batch 201: theta=325.00, phi=125.00, strain=[-0.005735764363510461, 0.003289899283371659, -0.004698463103929545]
Batch 202: theta=325.00, phi=150.00, strain=[-0.008660254037844387, 0.004967317648921545, -0.002867882181755232]
Batch 203: theta=325.00, phi=175.00, strain=[-0.009961946980917456, 0.0057139380484327006, -0.0004999048033273036]
Batch 204: theta=325.00, phi=200.00, strain=[-0.009396926207859084, 0.005389855446957566, 0.001961746949690112]
Batch 205: theta=325.00, phi=225.00, strain=[-0.007071067811865477, 0.004055797876726393, 0.004055797876726391]
Batch 206: theta=325.00, phi=250.00, strain=[-0.0034202014332566856, 0.001961746949690111, 0.005389855446957566]
Batch 207: theta=325.00, phi=275.00, strain=[0.0008715574274765789, -0.0004999048033273017, 0.0057139380484327006]
Batch 208: theta=325.00, phi=300.00, strain=[0.005000000000000001, -0.0028678821817552332, 0.004967317648921544]
Batch 209: theta=325.00, phi=325.00, strain=[0.008191520442889916, -0.004698463103929544, 0.0032898992833716614]
Batch 210: theta=325.00, phi=350.00, strain=[0.00984807753012208, -0.0056486252146362385, 0.0009960050292505131]
Batch 211: theta=350.00, phi=0.00, strain=[0.01, -0.001736481776669304, -0.0]
Batch 212: theta=350.00, phi=25.00, strain=[0.0090630778703665, -0.0015737869562426272, -0.0007338689100003827]
Batch 213: theta=350.00, phi=50.00, strain=[0.006427876096865394, -0.0011161889704894969, -0.0013302222155948903]
Batch 214: theta=350.00, phi=75.00, strain=[0.0025881904510252074, -0.0004494345552754779, -0.001677312594965207]
Batch 215: theta=350.00, phi=100.00, strain=[-0.001736481776669303, 0.00030153689607045805, -0.001710100716628344]
Batch 216: theta=350.00, phi=125.00, strain=[-0.005735764363510461, 0.0009960050292505125, -0.0014224425972292408]
Batch 217: theta=350.00, phi=150.00, strain=[-0.008660254037844387, 0.0015038373318043536, -0.0008682408883346518]
Batch 218: theta=350.00, phi=175.00, strain=[-0.009961946980917456, 0.001729873939250895, -0.0001513443590133863]
Batch 219: theta=350.00, phi=200.00, strain=[-0.009396926207859084, 0.0016317591116653488, 0.000593911746138847]
Batch 220: theta=350.00, phi=225.00, strain=[-0.007071067811865477, 0.001227878039689729, 0.0012278780396897287]
Batch 221: theta=350.00, phi=250.00, strain=[-0.0034202014332566856, 0.0005939117461388468, 0.0016317591116653488]
Batch 222: theta=350.00, phi=275.00, strain=[0.0008715574274765789, -0.00015134435901338576, 0.001729873939250895]
Batch 223: theta=350.00, phi=300.00, strain=[0.005000000000000001, -0.0008682408883346521, 0.0015038373318043534]
Batch 224: theta=350.00, phi=325.00, strain=[0.008191520442889916, -0.0014224425972292403, 0.0009960050292505131]
Batch 225: theta=350.00, phi=350.00, strain=[0.00984807753012208, -0.001710100716628344, 0.0003015368960704582]
